,Job Title,Job Link,Job Location
93,Healthcare Data Scientist,https://www.indeed.com/rc/clk?jk=6720cf1c03a1c426&fccid=2c23f29fcd5c78da&vjs=3,"New York, NY"
94,Digital Archives Assistant,https://www.indeed.com/rc/clk?jk=7c541433bfbcb0b8&fccid=ec3edbdb9b5c3b64&vjs=3,"Long Island City, NY"
95,Research Associates,https://www.indeed.com/rc/clk?jk=75304bc19a74f00b&fccid=00ae4e776f21bc2f&vjs=3,"New York, NY 10005 (Financial District area)"
96,Software Engineers & Web Developers,https://www.indeed.com/rc/clk?jk=597b9830f39b5420&fccid=bc8bf69154b5fc28&vjs=3,"New York, NY"
97,Software Engineer (New Graduate Summer 2021),https://www.indeed.com/rc/clk?jk=653913a350bc087f&fccid=7c07af204e67482c&vjs=3,"New York, NY"
98,Students - Equity Trading Desk Internship Summer 2019,https://www.indeed.com/rc/clk?jk=7649cd45d0afd8f0&fccid=7d204885a50ad05e&vjs=3,"New York, NY"
99,Data Scientist,https://www.indeed.com/rc/clk?jk=4cd4c06ef50381d2&fccid=dd91988f61252fd8&vjs=3,New York State
100,Software Engineer,https://www.indeed.com/rc/clk?jk=a195d7dabc2ff8e3&fccid=25b5166547bbf543&vjs=3,"New York, NY"
101,Senior Level Python Developer,https://www.indeed.com/rc/clk?jk=bfa41cad10426505&fccid=c85d08a88c59e378&vjs=3,"New York, NY"
102,Strategic Initiatives & Product Analyst,https://www.indeed.com/rc/clk?jk=1d6786f598bbafe0&fccid=1a6403f5a8617d71&vjs=3,New York State
103,Software Engineer in Test,https://www.indeed.com/rc/clk?jk=e355f6d4488f7bd1&fccid=3911cf63fc0692f4&vjs=3,New York State
104,Junior Data Scientist,https://www.indeed.com/rc/clk?jk=148f2e5e7a652368&fccid=2721c1c2ba33c638&vjs=3,"New York, NY"
